,category,formal,casual,feminine
0,0,0.22950819672131148,0.2412280701754386,0.2571428571428571
1,1,0.4808743169398907,0.42543859649122806,0.45714285714285713
2,2,0.1885245901639344,0.20029239766081872,0.18095238095238095
3,3,0.030054644808743168,0.03508771929824561,0.05238095238095238
4,4,0.07103825136612021,0.097953216374269,0.05238095238095238
